Gener_No,BestFit,AvgFit,maxFitValue
0,1969.6793409011477,20976.76991510454,46290.03604857456
1,1560.6244247285915,10488.05041987705,36169.88469060904
2,1560.6244247285915,6210.787644617117,25046.0805669845
3,1560.6244247285915,3801.3460658947047,19864.928371550854
4,1560.6244247285915,2453.892051004996,11844.702419197461
5,1560.6244247285915,2141.6893347491477,7076.359384492253
6,1558.8670297973256,2061.8391862888807,7076.359384492253
7,1558.8670297973256,2007.5481462000264,6210.6641981432185
8,1551.9647706153764,1860.2350668654417,5044.636260583031
9,1551.9647706153764,1791.661473668879,2892.525620059099
10,1422.5634252754282,1774.8787395373158,2892.525620059099
11,1422.5634252754282,1761.6778288727282,2892.525620059099
12,1422.5634252754282,1735.246055348206,2892.525620059099
13,1422.5634252754282,1708.4361635048963,2057.319938172505
14,1422.5634252754282,1686.6513254373303,2057.319938172505
15,1422.5634252754282,1669.489677300444,2057.319938172505
16,1422.5634252754282,1653.0709979293108,1947.913083929268
17,1396.3822597574665,1639.2732688176973,1947.913083929268
18,1377.8252103033426,1623.6480308113757,1947.913083929268
19,1377.8252103033426,1610.491185544959,1811.7842651747862
20,1287.6405615125796,1603.1883541126358,1811.7842651747862
21,1287.6405615125796,1598.6925263605008,1811.7842651747862
22,1287.6405615125796,1591.6769886216807,1811.7842651747862
23,1287.6405615125796,1576.3108585324983,1769.5770588644632
24,1287.6405615125796,1571.6940595744763,1769.5770588644632
25,1287.6405615125796,1562.3362160557851,1769.5770588644632
26,1287.6405615125796,1557.635492086513,1769.5770588644632
27,1287.6405615125796,1554.0837072291865,1769.5770588644632
28,1287.6405615125796,1552.5897911399213,1769.5770588644632
29,1287.6405615125796,1546.5377865595071,1740.4020712182084
30,1287.6405615125796,1540.7100218134563,1715.5567940402577
31,1287.6405615125796,1537.0199612106785,1715.5567940402577
32,1287.6405615125796,1531.4228179264828,1699.9713950298767
33,1287.6405615125796,1528.9087290088914,1699.9713950298767
34,1287.6405615125796,1523.4783851960174,1699.9713950298767
35,1287.6405615125796,1516.5597172355583,1681.8504324218457
36,1287.6405615125796,1511.7973385233663,1681.8504324218457
37,1287.6405615125796,1508.1643063534968,1659.8211635143114
38,1287.6405615125796,1502.9751856160176,1659.8211635143114
39,1287.6405615125796,1498.43282662264,1659.8211635143114
40,1287.6405615125796,1489.3823624637093,1659.8211635143114
41,1287.6405615125796,1483.8752356942941,1659.8211635143114
42,1287.6405615125796,1480.8085940153353,1659.8211635143114
43,1275.4777786415607,1473.0270988413647,1659.8211635143114
44,1275.4777786415607,1469.5538941443715,1659.8211635143114
45,1275.4777786415607,1466.7463372620352,1659.8211635143114
46,1275.4777786415607,1462.42615315228,1659.8211635143114
47,1275.4777786415607,1461.5511753161572,1659.8211635143114
48,1275.4777786415607,1460.2520654164248,1659.8211635143114
